OBS,DURATION,NEW_CAR,USED_CAR,FURNITURE,RADIO_TV,EDUCATION,RETRAINING,AMOUNT,INSTALL_RATE,CO_APPLICANT,GUARANTOR,REAL_ESTATE,PROP_UNKN_NONE,AGE,OTHER_INSTALL,RENT,OWN_RES,NUM_CREDITS,NUM_DEPENDENTS,TELEPHONE,FOREIGN,RESPONSE
50,12,0,0,0,1,0,0,2073,4,1,0,1,0,28,0,0,1,1,1,0,0,1
51,24,0,0,1,0,0,0,2333,4,0,0,0,0,29,1,0,1,1,1,0,0,1
52,27,0,1,0,0,0,0,5965,1,0,0,0,0,30,0,0,1,2,1,1,0,1
53,12,0,0,0,1,0,0,1262,3,0,0,0,0,25,0,0,1,1,1,0,0,1
54,18,0,1,0,0,0,0,3378,2,0,0,0,0,31,0,0,1,1,1,1,0,1
55,36,1,0,0,0,0,0,2225,4,0,0,0,1,57,,,,,,,,
56,6,1,0,0,0,0,0,783,1,0,1,1,0,26,1,0,1,1,2,0,0,1
57,12,0,0,0,1,0,0,6468,2,0,0,0,1,52,0,0,1,1,1,1,0,0
58,36,0,0,0,1,0,0,9566,2,0,0,0,0,31,1,0,1,2,1,0,0,1
59,18,1,0,0,0,0,0,1961,3,0,0,0,0,23,0,0,1,1,1,0,0,1
60,36,0,0,1,0,0,0,6229,4,1,0,0,1,23,0,1,0,2,1,1,0,0
61,9,0,0,0,0,0,1,1391,2,0,0,1,0,27,1,0,1,1,1,1,0,1
62,15,0,0,0,1,0,0,1537,4,0,1,1,0,50,0,0,1,2,1,1,0,1
63,36,0,0,0,0,0,1,1953,4,0,0,0,1,61,0,0,0,1,1,1,0,0
64,48,0,0,0,0,0,1,14421,2,0,0,0,0,25,0,0,1,1,1,1,0,0
65,24,0,0,0,1,0,0,3181,4,0,0,0,0,26,0,0,1,1,1,1,0,1
66,27,0,0,0,0,0,0,5190,4,0,0,0,0,48,0,0,1,4,2,1,0,1
67,12,0,0,0,1,0,0,2171,2,0,0,0,0,29,1,0,1,1,1,0,0,1
68,12,1,0,0,0,0,0,1007,4,0,0,1,0,22,0,0,1,1,1,0,0,1
69,36,0,0,0,0,1,0,1819,4,0,0,0,1,37,1,0,0,1,1,1,0,0
70,36,0,0,0,1,0,0,2394,4,0,0,0,0,25,0,0,1,1,1,0,0,1
71,36,0,1,0,0,0,0,8133,1,0,0,0,0,30,1,0,1,1,1,0,0,1
72,7,0,0,0,1,0,0,730,4,0,0,0,0,46,0,1,0,2,1,1,0,1
73,8,0,0,0,0,0,0,1164,3,0,0,0,1,51,1,0,0,2,2,1,0,1
74,42,0,0,0,0,0,1,5954,2,0,0,1,0,41,1,0,1,2,1,0,0,1
75,36,0,0,0,0,1,0,1977,4,0,0,0,1,40,0,0,1,1,1,1,0,0
76,12,0,1,0,0,0,0,1526,4,0,0,0,1,66,0,0,0,2,1,0,0,1
77,42,0,0,0,1,0,0,3965,4,0,0,0,0,34,0,0,1,1,1,0,0,0
78,11,0,0,0,1,0,0,4771,2,0,0,0,0,51,0,0,1,1,1,0,0,1
79,54,0,1,0,0,0,0,9436,2,0,0,0,0,39,0,0,1,1,2,0,0,1
80,30,0,0,1,0,0,0,3832,2,0,0,0,0,22,0,0,1,1,1,0,0,1
81,24,0,0,0,1,0,0,5943,1,0,0,0,0,44,0,0,1,2,1,1,0,0
82,15,0,0,0,1,0,0,1213,4,0,0,0,0,47,1,0,1,1,1,1,0,1
83,18,0,0,0,0,0,1,1568,3,0,0,0,0,24,0,1,0,1,1,0,0,1
84,24,0,0,0,0,0,0,1755,4,0,1,1,0,58,0,0,1,1,1,1,0,1
85,10,0,0,0,1,0,0,2315,3,0,0,1,0,52,0,0,1,1,1,0,0,1
86,12,0,0,0,0,0,1,1412,4,0,1,1,0,29,0,0,1,2,1,1,0,1
87,18,0,0,1,0,0,0,1295,4,0,0,0,0,27,0,0,1,2,1,0,0,1
88,36,0,0,0,0,1,0,12612,1,0,0,0,1,47,0,0,0,1,2,1,0,0
89,18,1,0,0,0,0,0,2249,4,0,0,0,0,30,0,0,1,1,2,1,0,1
90,12,0,0,0,0,0,0,1108,4,0,0,1,0,28,0,0,1,2,1,0,0,0
91,12,0,0,0,1,0,0,618,4,0,0,1,0,56,0,0,1,1,1,0,0,1
92,12,0,1,0,0,0,0,1409,4,0,0,1,0,54,0,0,1,1,1,0,0,1
93,12,0,0,0,1,0,0,797,4,0,0,0,0,33,1,0,1,1,2,0,0,0
94,24,0,0,1,0,0,0,3617,4,1,0,0,1,20,0,1,0,2,1,0,0,1
95,12,1,0,0,0,0,0,1318,4,0,0,1,0,54,0,0,1,1,1,1,0,1
96,54,0,0,0,0,0,1,15945,3,0,0,0,1,58,0,1,0,1,1,1,0,0
97,12,0,0,0,0,1,0,2012,4,0,0,0,0,,,,,,,0,0,1
98,18,0,0,0,0,0,1,2622,4,0,0,0,0,34,0,0,1,1,1,0,0,1
99,36,0,0,0,1,0,0,2337,4,0,0,1,0,36,0,0,1,1,1,0,0,1
100,20,0,1,0,0,0,0,7057,3,0,0,0,0,36,1,1,0,2,2,1,0,1
101,24,1,0,0,0,0,0,1469,4,0,0,1,0,41,0,1,0,1,1,0,0,1
102,36,0,0,0,1,0,0,2323,4,0,0,0,0,24,0,1,0,1,1,0,0,1
103,6,0,0,0,1,0,0,932,3,0,0,1,0,24,0,0,1,1,1,0,0,1
104,9,0,0,1,0,0,0,1919,4,0,0,0,0,35,0,1,0,1,1,1,0,1
105,12,0,1,0,0,0,0,2445,2,0,0,0,0,26,0,1,0,1,1,1,0,1
106,24,0,0,0,0,0,0,11938,2,1,0,0,0,39,0,0,1,2,2,1,0,0
107,18,1,0,0,0,0,0,6458,2,0,0,0,1,39,1,0,1,2,2,1,0,0
108,12,1,0,0,0,0,0,6078,2,0,0,0,0,32,0,0,1,1,1,0,0,1
109,24,0,0,1,0,0,0,7721,1,0,0,0,0,30,0,0,1,1,1,1,1,1
110,14,0,0,0,0,0,1,1410,1,0,0,1,0,35,0,0,1,1,1,1,0,1
111,6,0,0,0,0,0,1,1449,1,0,0,0,0,31,1,0,1,2,2,0,0,1
112,15,0,0,0,0,1,0,392,4,0,0,0,0,23,0,1,0,1,1,1,0,1
113,18,1,0,0,0,0,0,6260,3,0,0,1,0,28,0,1,0,1,1,0,0,1
114,36,1,0,0,0,0,0,7855,4,0,0,1,0,25,1,0,1,2,1,1,0,0
115,12,0,0,0,1,0,0,1680,3,0,0,1,0,35,0,0,1,1,1,0,0,1
116,48,0,0,0,1,0,0,3578,4,0,0,1,0,47,0,0,1,1,1,1,0,1
117,42,0,0,0,1,0,0,7174,4,0,0,0,0,30,0,0,1,1,1,1,0,0
118,10,0,0,1,0,0,0,2132,2,1,0,1,0,27,0,1,0,2,1,0,1,1
119,33,0,0,1,0,0,0,4281,1,0,0,0,0,23,0,0,1,2,1,0,0,0
120,12,1,0,0,0,0,0,2366,3,0,0,0,0,36,0,0,1,1,1,1,0,1
121,21,0,0,0,1,0,0,1835,3,0,0,1,0,25,0,0,1,2,1,1,0,0
122,24,0,1,0,0,0,0,3868,4,0,0,0,0,41,0,1,0,2,1,1,0,1
123,12,0,0,1,0,0,0,1768,3,0,0,1,0,24,0,1,0,1,1,0,0,1
124,10,1,0,0,0,0,0,781,4,0,0,0,1,63,0,0,0,2,1,1,0,1
125,18,0,0,1,0,0,0,1924,4,0,0,1,0,27,0,1,0,1,1,0,0,0
126,12,1,0,0,0,0,0,2121,4,0,0,0,0,30,0,0,1,2,1,0,0,1
127,12,0,0,0,1,0,0,701,4,,0,1,0,40,0,0,1,1,1,0,0,1
128,12,0,0,0,0,0,0,639,4,0,0,0,0,30,0,0,1,1,1,0,0,0
129,12,0,1,0,0,0,0,1860,4,0,0,0,0,34,0,0,1,2,1,1,0,1
130,12,1,0,0,0,0,0,3499,3,1,0,1,0,29,0,0,1,2,1,0,0,0
131,48,1,0,0,0,0,0,8487,1,0,0,0,0,24,0,0,1,1,1,0,0,1
132,36,0,0,0,0,1,0,6887,4,0,0,0,0,29,1,0,1,1,1,1,0,0
133,15,0,0,1,0,0,0,2708,2,0,0,0,0,27,1,0,1,2,1,0,0,1
134,18,0,0,1,0,0,0,1984,4,0,0,0,1,47,1,0,0,2,1,0,0,1
135,60,0,0,0,1,0,0,10144,2,0,0,1,0,21,0,0,1,1,1,1,0,1
136,12,0,0,0,1,0,0,1240,4,0,0,1,0,38,0,0,1,2,1,1,0,1
137,27,0,1,0,0,0,0,8613,2,0,0,0,0,27,0,0,1,2,1,0,0,1
138,12,0,0,0,1,0,0,766,4,0,0,1,0,66,0,0,1,1,1,0,0,0
139,15,0,0,0,1,0,0,2728,4,0,1,1,0,35,1,0,1,3,1,1,0,1
140,12,0,0,0,1,0,0,1881,2,0,0,0,0,44,0,1,0,1,1,1,0,1
141,6,1,0,0,0,0,0,709,2,0,0,1,0,27,0,0,1,1,1,0,1,1
142,36,0,0,0,1,0,0,4795,4,0,0,0,1,30,0,0,1,1,1,1,0,1
143,27,0,0,0,1,0,0,3416,3,0,0,0,0,27,0,0,1,1,1,0,0,1
144,18,0,0,1,0,0,0,2462,2,0,0,0,0,22,0,0,1,1,1,0,0,0
145,21,0,0,1,0,0,0,2288,4,0,0,0,0,23,0,0,1,1,1,1,0,1
146,48,0,0,0,0,0,1,3566,4,0,0,0,0,30,0,0,1,1,1,0,0,1
147,6,1,0,0,0,0,0,860,1,0,0,0,1,39,0,0,1,2,1,1,0,1
148,12,1,0,0,0,0,0,682,4,0,0,0,0,51,0,0,1,2,1,1,0,1
149,36,0,0,1,0,0,0,5371,3,0,1,0,0,28,0,0,1,2,1,0,0,1
150,18,0,0,0,1,0,0,1582,4,0,0,0,0,46,0,0,1,2,1,0,0,1
151,6,0,0,0,1,0,0,1346,2,0,0,0,1,42,1,0,0,1,2,1,0,1
152,10,0,0,0,1,0,0,1924,1,0,0,0,0,38,0,0,1,1,1,1,1,1
153,36,0,0,0,1,0,0,5848,4,0,0,0,0,24,0,0,1,1,1,0,0,1
154,24,0,1,0,0,0,0,7758,2,0,0,0,1,29,0,1,0,1,1,0,0,1
155,24,0,0,0,0,0,1,6967,4,0,0,0,0,36,0,1,0,1,1,1,0,1
156,12,0,0,1,0,0,0,1282,2,0,0,0,0,20,0,1,0,1,1,0,0,0
157,9,0,0,0,0,0,0,1288,3,0,1,1,0,48,0,0,1,2,2,0,1,1
158,12,0,0,0,0,0,0,339,4,0,0,0,0,45,1,0,1,1,1,0,0,1
159,24,1,0,0,0,0,0,3512,2,0,0,0,0,38,1,0,1,2,1,1,0,1
160,6,0,0,0,1,0,0,1898,1,0,0,1,0,34,0,0,1,2,2,0,0,1
161,24,0,0,0,1,0,0,2872,3,0,0,1,0,36,0,0,1,1,2,1,0,1
162,18,1,0,0,0,0,0,1055,4,0,0,0,0,30,0,0,1,2,1,0,0,1
163,15,0,0,0,0,0,0,1262,4,0,0,0,0,36,0,0,1,2,1,1,0,1
164,10,1,0,0,0,0,0,7308,2,0,0,0,1,70,1,0,0,1,1,1,0,1
165,36,1,0,0,0,0,0,909,4,0,0,0,0,36,0,0,1,1,1,0,0,1
166,6,0,0,1,0,0,0,2978,1,0,0,0,0,32,0,0,1,1,1,1,0,1
167,18,0,0,1,0,0,0,1131,4,0,0,0,0,33,0,0,1,1,1,0,0,0
168,11,0,0,1,0,0,0,1577,4,0,0,1,0,20,0,0,1,1,1,0,0,1
169,24,0,0,1,0,0,0,3972,2,0,0,0,0,25,0,1,0,1,1,1,0,1
170,24,0,0,0,0,0,1,1935,4,0,0,1,0,31,0,0,1,2,1,1,0,0
171,15,1,0,0,0,0,0,950,4,0,0,0,0,33,0,1,0,2,2,0,0,0
172,12,0,0,1,0,0,0,763,4,0,0,1,0,26,0,0,1,1,1,1,0,1
173,24,0,0,1,0,0,0,2064,3,0,0,0,0,34,0,0,1,1,1,1,0,0
174,8,0,0,0,1,0,0,1414,4,0,1,1,0,33,0,0,1,1,1,0,1,1
175,21,0,0,0,0,1,0,3414,2,0,0,0,0,26,0,0,1,2,1,0,0,0
176,30,0,1,0,0,0,0,7485,4,0,0,1,0,53,1,0,1,1,1,1,0,0
177,12,0,0,1,0,0,0,2577,2,0,0,0,0,42,0,0,1,1,1,0,0,1
178,6,0,0,0,1,0,0,338,4,0,0,0,0,52,0,0,1,2,1,0,0,1
179,12,0,0,0,1,0,0,1963,4,0,0,0,0,31,0,1,0,2,2,1,0,1
180,21,1,0,0,0,0,0,571,4,0,0,1,0,65,0,0,1,2,1,0,0,1
181,36,0,0,0,0,0,1,9572,1,0,0,0,0,28,0,0,1,2,1,0,0,0
182,36,0,0,0,0,0,1,4455,2,0,0,1,0,30,1,0,1,2,1,1,0,0
183,21,1,0,0,0,0,0,1647,4,0,0,0,0,40,0,0,1,2,2,0,0,0
184,24,0,0,1,0,0,0,3777,4,0,0,1,0,50,0,0,1,1,1,1,0,1
185,18,1,0,0,0,0,0,884,4,0,0,0,0,36,1,0,1,1,2,1,0,0
186,15,0,0,0,1,0,0,1360,4,0,0,0,0,31,0,0,1,2,1,0,0,1
187,9,0,1,0,0,0,0,5129,2,0,0,0,1,74,1,0,0,1,2,1,0,0
188,16,1,0,0,0,0,0,1175,2,0,0,0,0,68,0,0,0,3,1,1,0,1
189,12,0,0,0,1,0,0,674,4,0,0,0,0,20,0,0,1,1,1,0,0,0
190,18,0,0,1,0,0,0,3244,1,0,0,0,0,33,1,0,1,2,1,1,0,1
191,24,0,0,0,0,0,1,4591,2,0,0,0,0,54,0,0,1,3,1,1,0,0
192,48,0,0,0,0,0,1,3844,4,0,0,0,1,34,0,0,0,1,2,0,0,0
193,27,0,0,0,0,0,1,3915,4,0,0,0,0,36,0,0,1,1,2,1,0,0
194,6,0,0,0,1,0,0,2108,2,0,0,1,0,29,0,1,0,1,1,0,0,1
195,45,0,0,0,1,0,0,3031,4,0,1,0,0,21,0,1,0,1,1,0,0,0
196,9,0,0,0,0,1,0,1501,2,0,0,0,0,34,0,0,1,2,1,1,0,0
197,6,0,0,0,1,0,0,1382,1,0,0,0,0,28,0,0,1,2,1,1,0,1
198,12,0,0,1,0,0,0,951,4,0,0,0,0,27,1,1,0,4,1,0,0,0
199,24,0,1,0,0,0,0,2760,4,0,0,0,1,36,1,0,0,1,1,1,0,1
200,18,0,0,1,0,0,0,4297,4,0,0,0,1,40,0,0,1,1,1,1,0,0
201,9,0,0,0,0,1,0,936,4,0,0,0,0,52,0,0,1,2,1,1,0,1
202,12,1,0,0,0,0,0,1168,4,0,0,1,0,27,0,0,1,1,1,0,0,1
203,27,0,0,0,0,0,1,5117,3,0,0,0,0,26,0,0,1,2,1,0,0,1
204,12,0,0,0,0,0,0,902,4,0,0,0,0,21,0,1,0,1,1,0,0,0
205,12,1,0,0,0,0,0,1495,4,0,0,1,0,38,0,0,1,2,2,0,0,1
206,30,0,1,0,0,0,0,10623,3,0,0,0,1,38,0,0,0,3,2,1,0,1
207,12,0,0,1,0,0,0,1935,4,0,0,1,0,43,0,0,1,3,1,1,0,1
208,12,0,0,0,0,0,0,1424,4,0,0,0,0,26,0,0,1,1,1,0,0,1
209,24,0,0,0,0,0,1,6568,2,0,0,0,0,21,1,0,1,1,1,0,0,1
210,12,0,1,0,0,0,0,1413,3,0,0,0,0,55,0,0,1,1,1,0,1,1
211,9,0,0,0,1,0,0,3074,1,0,0,1,0,33,0,0,1,2,2,0,0,1
212,36,0,0,0,1,0,0,3835,2,0,0,1,0,45,0,0,1,1,1,1,0,1
213,27,0,0,0,0,0,1,5293,2,0,0,0,0,50,1,0,1,2,1,1,0,0
214,30,0,0,0,0,0,1,1908,4,0,0,1,0,66,0,0,1,1,1,1,0,0
215,36,0,0,0,1,0,0,,4,0,0,0,0,51,0,0,1,1,1,1,0,1
216,6,0,0,0,0,0,0,932,1,0,0,0,0,39,0,0,1,2,1,0,0,1
217,18,0,0,0,0,0,1,3104,3,0,0,0,0,31,1,0,1,1,1,1,0,1
218,36,0,0,0,1,0,0,3913,2,0,0,1,0,23,0,0,1,1,1,1,0,1
219,24,0,0,1,0,0,0,3021,2,0,0,1,0,24,0,1,0,1,1,0,0,1
220,10,1,0,0,0,0,0,1364,2,0,0,0,0,64,0,0,1,1,1,1,0,1
221,12,0,0,0,1,0,0,625,4,0,1,1,0,26,1,0,1,1,1,0,0,1
222,12,0,0,0,0,1,0,1200,4,0,0,0,0,23,1,1,0,1,1,1,0,1
223,12,0,0,0,1,0,0,707,4,0,0,1,0,30,1,0,1,2,1,0,0,1
224,24,0,0,0,0,0,1,2978,4,0,0,1,0,32,0,0,1,2,2,1,0,1
225,15,0,1,0,0,0,0,4657,3,0,0,0,0,30,0,0,1,1,1,1,0,1
226,36,0,0,0,0,0,0,2613,4,0,0,0,0,27,0,0,1,2,1,0,0,1
227,48,0,0,0,1,0,0,10961,1,1,0,0,1,27,1,0,1,2,1,1,0,0
228,12,0,0,1,0,0,0,7865,4,0,0,0,1,53,0,0,0,1,1,1,0,0
229,9,0,0,0,1,0,0,1478,4,0,0,0,0,22,0,0,1,1,1,0,0,0
230,24,0,0,1,0,0,0,3149,4,0,0,0,1,22,1,0,0,1,1,0,0,1
231,36,0,0,0,1,0,0,4210,4,0,0,0,0,26,0,0,1,1,1,0,0,0
232,9,1,0,0,0,0,0,2507,2,0,0,0,1,51,0,0,0,1,1,0,0,1
233,12,0,0,0,1,0,0,2141,3,0,0,0,1,35,0,0,1,1,1,0,0,1
234,18,0,0,0,1,0,0,866,4,0,1,1,0,25,0,0,1,1,1,0,0,1
235,4,0,0,0,1,0,0,1544,2,0,0,1,0,42,0,0,1,3,2,0,0,1
236,24,0,0,0,1,0,0,1823,4,0,0,0,0,30,1,0,1,1,2,0,0,0
237,6,1,0,0,0,0,0,14555,1,0,0,0,0,23,0,0,1,1,1,1,0,0
238,21,0,0,0,0,0,1,2767,4,0,0,0,0,61,1,1,0,2,1,0,0,0
239,12,0,0,0,1,0,0,1291,4,0,0,0,0,35,0,0,1,2,1,0,0,1
240,30,0,0,0,1,0,0,2522,1,0,1,0,0,39,0,0,1,1,2,0,0,1
241,24,1,0,0,0,0,0,915,4,0,0,0,0,29,1,0,1,1,1,0,0,0
242,6,0,0,0,1,0,0,1595,3,0,0,0,0,51,0,0,1,1,2,0,0,1
243,48,0,1,0,0,0,0,4605,3,0,0,0,1,24,0,0,0,2,2,0,0,0
244,12,0,0,0,0,0,1,1185,3,0,0,1,0,27,0,0,1,2,1,0,0,1
245,12,0,0,0,0,0,0,3447,4,0,0,1,0,35,0,0,1,1,2,0,0,1
246,24,0,0,0,0,0,1,1258,4,0,0,1,0,25,0,0,1,1,1,1,0,1
247,12,0,0,0,1,0,0,717,4,0,0,1,0,52,0,0,1,3,1,0,0,1
248,6,1,0,0,0,0,0,1204,4,0,0,0,1,35,1,1,0,1,1,0,1,1
249,24,0,0,1,0,0,0,1925,2,0,0,1,0,26,0,0,1,1,1,0,0,1
250,18,0,0,0,1,0,0,433,3,1,0,1,0,22,0,1,0,1,1,0,0,0
251,6,1,0,0,0,0,0,666,3,0,0,1,0,39,0,0,1,2,1,1,0,1
252,12,0,0,1,0,0,0,2251,1,0,0,0,0,46,0,0,1,1,1,0,0,1
253,30,1,0,0,0,0,0,2150,4,0,1,0,1,24,1,0,1,1,1,0,0,0
254,24,0,0,1,0,0,0,4151,2,0,0,0,0,35,0,0,1,2,1,0,0,1
255,9,0,0,1,0,0,0,2030,2,0,0,0,0,24,0,0,1,1,1,1,0,1
256,60,0,0,0,1,0,0,7418,1,0,0,1,0,27,0,0,1,1,1,0,0,1
257,24,0,0,0,1,0,0,2684,4,0,0,1,0,35,0,0,1,2,1,0,0,1
258,12,0,0,0,1,0,0,2149,4,0,0,0,1,29,0,0,0,1,1,0,0,0
259,15,0,1,0,0,0,0,3812,1,0,0,0,0,23,0,0,1,1,1,1,0,1
260,11,0,0,0,1,0,0,1154,4,0,0,1,0,57,0,0,1,3,1,0,0,1
261,12,0,0,1,0,0,0,1657,2,0,0,1,0,27,0,0,1,1,1,0,0,1
262,24,0,0,0,1,0,0,1603,4,0,0,0,0,55,0,0,1,1,1,0,0,1
263,18,1,0,0,0,0,0,5302,2,0,0,0,1,36,0,0,0,3,1,1,0,1
264,12,0,0,0,0,1,0,2748,2,0,0,0,1,57,1,0,0,3,1,0,0,1
265,10,1,0,0,0,0,0,1231,3,0,0,1,0,32,0,0,1,2,2,0,1,1
266,15,0,0,0,1,0,0,802,4,0,0,0,0,37,0,0,1,1,2,0,0,0
267,36,0,0,0,0,0,1,,,,,,,,,,1,2,1,0,0,1
268,24,0,0,0,1,0,0,1533,4,0,0,0,0,38,1,0,1,1,1,1,0,1
269,14,1,0,0,0,0,0,8978,1,0,0,0,0,45,0,0,1,1,1,1,1,0
270,24,0,0,0,1,0,0,999,4,0,0,0,0,25,0,0,1,2,1,0,0,1
271,18,1,0,0,0,0,0,2662,4,0,0,0,0,32,0,0,1,1,1,0,1,1
272,12,0,0,1,0,0,0,1402,3,0,0,0,0,37,0,1,0,1,1,1,0,1
273,48,1,0,0,0,0,0,12169,4,1,0,0,1,36,0,0,0,1,1,1,0,1
274,48,0,0,0,1,0,0,3060,4,0,0,1,0,28,0,0,1,2,1,0,0,0
275,30,0,0,0,0,0,0,11998,1,0,0,0,1,34,0,0,1,1,1,1,0,0
276,9,0,0,0,1,0,0,2697,1,0,0,1,0,32,0,0,1,1,2,0,0,1
277,18,0,0,0,1,0,0,2404,2,0,0,0,0,26,0,0,1,2,1,0,0,1
278,12,0,0,1,0,0,0,1262,2,0,0,0,0,49,0,0,1,1,1,1,0,1
279,6,0,0,1,0,0,0,4611,1,0,0,0,0,32,0,0,1,1,1,0,0,0
280,24,0,0,0,1,0,0,1901,4,0,0,0,0,29,0,1,0,1,1,1,0,1
281,15,0,1,0,0,0,0,3368,3,0,0,0,1,23,0,1,0,2,1,1,0,1
282,12,0,0,1,0,0,0,1574,4,0,0,1,0,50,0,0,1,1,1,0,0,1
283,18,0,0,0,1,0,0,1445,4,0,0,0,0,49,1,0,1,1,1,0,0,1
284,15,0,0,1,0,0,0,1520,4,0,0,0,0,63,0,0,1,1,1,0,0,1
285,24,1,0,0,0,0,0,3878,4,0,0,0,0,37,0,0,1,1,1,1,0,1
286,47,1,0,0,0,0,0,10722,1,0,0,1,0,35,0,0,1,1,1,1,0,1
287,48,0,1,0,0,0,0,4788,4,0,0,0,0,26,0,0,1,1,2,0,0,1
288,48,0,0,0,0,0,0,7582,2,0,0,0,1,31,0,0,0,1,1,1,0,1
289,12,0,0,0,1,0,0,1092,4,0,1,1,0,49,0,0,1,2,1,1,0,1
290,24,0,0,0,1,0,0,1024,4,0,0,1,0,48,1,0,1,1,1,0,0,0
291,12,0,0,0,0,0,1,1076,2,0,0,1,0,26,0,0,1,1,1,1,1,1
292,36,0,1,0,0,0,0,9398,1,0,0,0,0,28,0,1,0,1,1,1,0,0
